timestamp,temp_C,pressure_Pa,bmp_alt_m,lat,lon,gps_alt_m,speed_kmh,course_deg,heater,rssi_dBm,travel_time_s,distance_m,raw
2026-05-21T16:56:46,28.6,99972,113.4,,,,,,OFF,-38,0.0,0.0,28.6|99972|113.4|N/A|N/A|N/A|N/A|N/A|OFF
2026-05-21T16:56:53,28.6,99965,113.9,,,,,,OFF,-39,0.0,0.0,28.6|99965|113.9|N/A|N/A|N/A|N/A|N/A|OFF
2026-05-21T16:56:59,28.7,99969,113.8,,,,,,OFF,-39,0.0,0.0,28.7|99969|113.8|N/A|N/A|N/A|N/A|N/A|OFF
2026-05-21T16:57:06,28.7,99968,113.7,,,,,,OFF,-43,0.0,0.0,28.7|99968|113.7|N/A|N/A|N/A|N/A|N/A|OFF
2026-05-21T16:57:12,28.7,99966,114.1,,,,,,OFF,-43,0.0,0.0,28.7|99966|114.1|N/A|N/A|N/A|N/A|N/A|OFF
2026-05-21T16:57:19,28.8,99967,113.6,,,,,,OFF,-44,0.0,0.0,28.8|99967|113.6|N/A|N/A|N/A|N/A|N/A|OFF
2026-05-21T16:57:25,28.8,99966,113.8,,,,,,OFF,-43,0.0,0.0,28.8|99966|113.8|N/A|N/A|N/A|N/A|N/A|OFF
2026-05-21T16:57:32,28.9,99957,113.9,,,,,,OFF,-43,0.0,0.0,28.9|99957|113.9|N/A|N/A|N/A|N/A|N/A|OFF
2026-05-21T16:57:38,28.8,99957,113.9,,,,,,OFF,-42,0.0,0.0,28.8|99957|113.9|N/A|N/A|N/A|N/A|N/A|OFF
2026-05-21T16:57:45,28.8,99963,113.6,,,,,,OFF,-43,0.0,0.0,28.8|99963|113.6|N/A|N/A|N/A|N/A|N/A|OFF
2026-05-21T16:57:51,28.9,99963,114.1,,,,,,OFF,-42,0.0,0.0,28.9|99963|114.1|N/A|N/A|N/A|N/A|N/A|OFF
2026-05-21T16:57:58,29.0,99964,114.0,,,,,,OFF,-40,0.0,0.0,29.0|99964|114.0|N/A|N/A|N/A|N/A|N/A|OFF
